Mach,Fuel Flow,Vibration N1 #1 Bearing,Vibration N2 #1 Bearing,Oil Temperature,EGT,Total Air Temperature,Oil Pressure,Oil Pressure Smoothed,Altitude,Indicated Fan Speed,Thrust Derate,Thrust Derate Smoothed,Core Speed,Oil Temperature Smoothed,DAYS_SINCE_INSTALL
0.2583333333333335,0.47694338298658145,0.37410071942446044,0.14285714285714285,0.3902439024390243,0.2850467289719627,0.7123655913978494,0.3636363636363633,0.4019880380759826,0.1497384481255449,0.07185628742514982,0.9284721526748136,0.3684375000000001,0.31428571428571495,0.6122049208963416,0.8273881499395405
0.46666666666666656,0.617628954819648,0.6043165467625901,0.10714285714285714,0.4878048780487805,0.43457943925233655,0.24731182795698922,0.45454545454545414,0.7037317833375454,0.6231473408892764,0.5868263473053892,0.3209165764925145,0.226733870967742,0.4571428571428573,0.4293931227229617,0.21553808948004835
0.4250000000000005,0.6346296688415611,0.20143884892086328,0.17857142857142858,0.4390243902439024,0.6214953271028034,0.30107526881720426,0.545454545454545,0.5688316064358521,0.634045335658239,0.6227544910179645,0.30444340767917377,0.34618951612903226,0.5571428571428587,0.6000524030543497,0.967956469165659
0.55,0.6786901391111659,0.30935251798561153,0.42857142857142855,0.6097560975609757,0.6028037383177569,0.4623655913978495,0.45454545454545414,0.43356077836744866,0.5685483870967742,0.706586826347305,0.263223846035472,0.3306048387096775,0.6714285714285726,0.6623184608474313,0.39419588875453443
0.44999999999999996,0.6289301735811892,0.32374100719424465,0.3214285714285714,0.41463414634146334,0.58411214953271,0.5295698924731183,0.545454545454545,0.5468957964788128,0.5144943330427202,0.5928143712574849,0.3929989032543302,0.35606350806451614,0.6285714285714299,0.5114475719918152,0.804111245465538
0.30000000000000004,0.6204604210267143,0.4532374100719424,0.14285714285714285,0.6097560975609757,0.46261682242990654,0.6102150537634409,0.45454545454545414,0.47229382528851716,0.31299040976460335,0.48502994011976064,0.5096936195782535,0.5478326612903226,0.6142857142857139,0.6775964465738378,0.23246674727932284
0.2583333333333335,0.036193524559891666,0.5467625899280576,0.17857142857142858,0.5609756097560976,0.20560747663551382,0.543010752688172,0.2727272727272725,0.40304944823519406,0.2139276373147341,0.15568862275449113,0.8311891019142974,0.3411592741935484,0.2857142857142865,0.33099391126416133,0.5918984280532044
0.4250000000000005,0.6240448725840207,0.28776978417266186,0.2857142857142857,0.7317073170731705,0.52803738317757,0.6774193548387096,0.45454545454545414,0.4000673911212189,0.3583260680034874,0.4970059880239521,0.5020066293268326,0.8282610887096775,0.6571428571428584,0.7021884513649743,0.7131197097944377
0.3500000000000003,0.08506709343838481,0.42446043165467634,0.10714285714285714,0.6829268292682928,0.38317757009345765,0.6317204301075269,0.3636363636363633,0.46910959481088277,0.13066695727986052,0.29341317365269504,0.7018244083313587,0.5717842741935484,0.4571428571428573,0.9081511703348797,0.47490931076178955
0.55,0.13295580450572447,0.47482014388489213,0.25,0.6585365853658538,0.7757009345794388,0.543010752688172,0.3636363636363633,0.3155757728919202,0.5935047951176984,0.772455089820359,0.20901187856167544,0.5767439516129033,0.7285714285714295,0.6227167240604876,0.5813180169286577
